Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,PKMade,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,TotCmp,TotAtt,TotCmp%,TotDist,PrgDist,SbortCmp,ShortAtt,ShortCmp%,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerialWon,AerialLost,AerialWon%
11,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Portland,27,1990,14,9,823,3,2,0,0,0,0,0.33,0.22,0.55,0.33,0.55,4.3,4.3,0.7,0.47,0.08,0.55,0.47,0.55,0,0,24,10,0,41.7,2.62,1.09,0.13,0.3,4.3,4.3,0.18,-1.3,-1.3,163,216,75.5,2330,336,2,6,33.3,149,189,78.8,12,21,57.1,2,0.7,1.3,11,6,6,1,12,210,6,0,0,53,2,4,0,0,0,0,130,42,44,34,126,29,0,12,163,2,7,2,5,22,2.41,13,0,3,3,3,2,0.22,2,0,0,0,0,0,5,5,0,4,1,2,6,33.3,4,155,35,22.6,3,86,66,6,3,0,3,3,8,0,334,14,20,163,171,58,328,10,19,52.6,12,0,216,1285,611,492,261,53,28,21,10,18,13,0,0,0,32,18,28,39.1
12,Bismark Adjei-Boateng\Bismark-Adjei-Boateng,gh GHA,MFDF,Colorado,23,1994,20,14,1233,1,0,0,0,6,1,0.07,0,0.07,0.07,0.07,0.5,0.5,0.8,0.03,0.06,0.09,0.03,0.09,0,0,13,4,0,30.8,0.95,0.29,0.08,0.25,0.5,0.5,0.04,0.5,0.5,568,715,79.4,11086,3127,4,15,26.7,426,496,85.9,138,204,67.6,0,0.8,-0.8,8,40,6,1,78,639,76,8,2,95,24,22,0,0,0,0,491,93,131,64,549,31,66,0,568,2,15,14,22,23,1.68,20,1,1,1,0,1,0.07,1,0,0,0,0,0,42,23,19,18,5,15,34,44.1,19,298,71,23.8,101,149,48,32,5,0,27,18,21,0,881,33,202,494,231,23,806,16,25,64,18,0,578,2635,1563,605,557,92.1,18,16,21,13,1,0,0,0,128,8,11,42.1
13,François Affolter\Francois-Affolter,ch SUI,DF,San Jose,26,1991,9,7,678,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.13,0,0,,0,0,0.01,0,0,237,288,82.3,4955,1860,2,5,40,167,189,88.4,68,94,72.3,0,0,0,0,9,0,0,19,277,11,3,0,29,3,0,0,0,0,0,205,33,50,64,188,24,8,1,237,0,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,10,1,0,5,14,35.7,9,76,18,23.7,46,30,0,11,4,0,7,17,44,2,367,64,223,156,6,1,356,2,2,100,2,0,203,1176,655,210,207,98.6,3,2,9,2,0,0,0,0,75,7,2,77.8
14,Harrison Afful\Harrison-Afful,gh GHA,DF,Columbus,31,1986,32,32,2864,2,3,0,0,1,0,0.06,0.09,0.16,0.06,0.16,2.4,2.4,4.1,0.08,0.13,0.2,0.08,0.2,0,0,52,13,0,25,1.63,0.41,0.04,0.15,2.4,2.4,0.05,-0.4,-0.4,1665,2045,81.4,31604,11123,17,48,35.4,1301,1497,86.9,347,500,69.4,3,4.1,-1.1,43,128,49,12,228,1756,289,27,5,277,52,108,0,0,0,0,1286,367,392,306,1401,62,262,3,1665,3,36,43,48,72,2.26,52,3,10,5,2,6,0.19,5,0,0,1,0,0,17,11,10,4,3,8,23,34.8,15,306,91,29.7,156,92,58,34,1,0,33,62,42,1,2301,76,686,1018,787,89,2021,29,42,69,30,0,1590,9040,5434,1695,1553,91.6,28,25,17,22,16,0,0,0,296,20,18,52.6
15,Juan Agudelo\Juan-Agudelo,us USA,FWMF,New England,25,1992,30,13,1504,3,3,0,0,2,0,0.18,0.18,0.36,0.18,0.36,3.5,3.5,1.4,0.21,0.08,0.29,0.21,0.29,0,0,39,12,0,30.8,2.33,0.72,0.08,0.25,3.5,3.5,0.09,-0.5,-0.5,513,641,80,8577,1989,14,30,46.7,427,509,83.9,72,102,70.6,3,1.4,1.6,18,42,14,2,62,632,9,1,1,131,18,18,1,0,0,0,478,73,90,70,523,32,4,2,513,3,12,11,23,51,3.05,37,0,8,4,2,5,0.3,4,0,1,0,0,0,31,23,12,13,6,5,36,13.9,31,367,96,26.2,59,190,118,31,3,0,28,18,8,0,920,19,111,406,500,103,911,41,74,55.4,45,5,752,5794,3411,901,678,75.2,50,46,41,26,7,0,0,0,126,18,25,41.9
16,Abel Aguilar\Abel-Aguilar,co COL,MF,FC Dallas,33,1985,4,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,0,0,3,0,0,0,2.01,0,0,,0,0,0.02,0,0,76,96,79.2,1467,466,0,2,0,56,69,81.2,20,25,80,0,0,0,0,10,0,0,8,93,3,2,0,9,2,1,0,0,0,0,71,6,19,9,81,4,1,0,76,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,2,0,2,4,50,2,26,8,30.8,15,11,0,3,0,0,3,3,1,0,115,6,39,67,13,0,112,0,1,0,0,0,77,310,152,74,73,98.6,0,2,4,2,0,0,0,0,24,1,0,100
17,Stefan Aigner\Stefan-Aigner,de GER,FW,Colorado,30,1987,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,,0,0,2,2,0,4,2,50,1,0,1,0,0,0,0,0,0,0,1,0
18,José Aja\Jose-Aja,uy URU,DF,Vancouver,24,1993,17,17,1511,1,0,0,0,4,1,0.06,0,0.06,0.06,0.06,0.5,0.5,0.3,0.03,0.02,0.05,0.03,0.05,0,0,6,1,0,16.7,0.36,0.06,0.17,1,0.5,0.5,0.09,0.5,0.5,527,653,80.7,12277,4411,4,11,36.4,319,357,89.4,204,285,71.6,0,0.3,-0.3,4,27,0,0,19,632,21,18,1,81,20,1,0,0,0,0,444,76,133,38,556,45,3,2,527,1,18,8,10,8,0.48,7,0,0,0,1,1,0.06,1,0,0,0,0,0,27,20,21,6,0,12,29,41.4,17,122,34,27.9,93,25,4,15,8,0,7,28,100,0,829,124,588,266,25,15,808,4,7,57.1,4,0,492,2452,1325,505,489,96.8,9,0,22,4,7,0,0,0,146,24,5,82.8
19,Ager Aketxe\Ager-Aketxe,es ESP,MF,Toronto FC,24,1993,11,9,729,0,1,0,1,1,0,0,0.12,0.12,0,0.12,1.8,1,1.3,0.22,0.16,0.37,0.12,0.28,0,1,25,6,4,24,3.09,0.74,0,0,1.8,1,0.04,-1.8,-1,459,553,83,7679,2173,9,20,45,386,421,91.7,64,112,57.1,1,1.3,-0.3,16,51,12,0,54,504,49,13,2,84,24,36,30,0,0,0,453,31,69,447,90,9,5,0,459,1,10,12,8,38,4.69,24,6,4,3,1,2,0.25,0,1,0,1,0,0,14,9,5,8,1,3,11,27.3,8,204,44,21.6,37,135,32,6,2,0,4,6,0,0,657,6,81,375,255,16,608,17,22,77.3,17,2,527,2596,1378,583,507,87,12,17,5,20,2,0,0,0,65,2,6,25
20,Tesho Akindele\Tesho-Akindele,ca CAN,FWMF,FC Dallas,25,1992,19,5,586,2,0,0,0,0,0,0.31,0,0.31,0.31,0.31,1.5,1.5,0.7,0.23,0.11,0.34,0.23,0.34,0,0,9,8,0,88.9,1.38,1.23,0.22,0.25,1.5,1.5,0.17,0.5,0.5,148,216,68.5,2394,567,5,11,45.5,123,168,73.2,20,37,54.1,0,0.7,-0.7,8,17,7,4,19,206,10,0,1,43,3,11,0,0,0,0,142,37,37,34,145,25,5,1,148,1,9,7,4,17,2.64,15,0,1,1,0,0,0,0,0,0,0,0,0,16,12,7,7,2,2,16,12.5,14,158,34,21.5,53,67,38,6,1,0,5,0,5,0,286,8,46,132,134,28,276,11,15,73.3,11,0,199,1339,666,284,199,70.1,11,8,9,5,4,0,0,0,36,8,17,32
