Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,PKMade,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,TotCmp,TotAtt,TotCmp%,TotDist,PrgDist,SbortCmp,ShortAtt,ShortCmp%,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerialWon,AerialLost,AerialWon%
145,Harold Cummings\Harold-Cummings,pa PAN,DF,San Jose,25,1992,21,21,1874,0,0,0,0,3,0,0,0,0,0,0,0,0,0.3,0,0.01,0.01,0,0.01,0,0,1,0,0,0,0.05,0,0,,0,0,0.04,0,0,792,944,83.9,17779,6507,4,12,33.3,506,570,88.8,282,362,77.9,0,0.3,-0.3,2,30,0,0,25,911,33,28,0,121,47,2,0,0,0,0,724,63,157,155,725,44,5,1,792,2,27,6,14,5,0.24,5,0,0,0,0,0,0,0,0,0,0,0,0,44,26,39,4,1,18,40,45,22,163,43,26.4,127,30,6,42,21,0,21,59,119,0,1166,180,764,427,22,4,1134,7,9,77.8,7,0,714,3347,1595,680,666,97.9,5,4,12,17,0,0,0,0,225,34,16,68
146,Aidan Daniels\Aidan-Daniels,ca CAN,DF,Toronto FC,19,1998,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0.26,0.26,0.26,0,0,1,0,0,0,6.92,0,0,,0,0,0.04,0,0,2,3,66.7,37,10,0,1,0,2,2,100,0,0,,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,2,1,0,1,1,0,1,0,2,0,0,0,1,1,6.92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,1,25,0,4,0,0,0,0,0,0,0,0,6,0,0,0,6,2,4,1,2,50,1,0,4,71,59,3,3,100,0,0,0,0,0,0,0,0,0,0,0,
147,Abu Danladi\Abu-Danladi,gh GHA,FW,Minnesota,22,1995,16,5,488,1,1,0,0,1,0,0.18,0.18,0.37,0.18,0.37,1.9,1.9,1,0.35,0.18,0.53,0.35,0.53,0,0,12,6,0,50,2.21,1.11,0.08,0.17,1.9,1.9,0.16,-0.9,-0.9,109,141,77.3,1592,345,10,14,71.4,87,111,78.4,12,16,75,1,1,0,4,6,2,1,10,126,15,0,1,24,3,3,0,0,0,0,110,21,10,11,114,6,2,2,109,2,2,1,6,10,1.84,8,0,0,0,2,2,0.37,1,0,0,0,1,0,11,6,7,2,2,7,15,46.7,8,161,41,25.5,22,75,64,5,1,0,4,3,2,0,221,4,30,104,94,34,206,8,15,53.3,8,1,167,894,408,240,154,64.2,22,14,17,6,6,0,0,0,27,7,19,26.9
148,Juan David Cabezas\Juan-David-Cabezas,co COL,MF,Houston,26,1991,6,4,289,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.04,0.01,0.06,0.04,0.06,0,0,3,1,0,33.3,0.93,0.31,0,0,0.1,0.1,0.05,-0.1,-0.1,108,119,90.8,2422,692,2,3,66.7,70,78,89.7,36,38,94.7,0,0,0,1,19,2,0,16,113,6,5,0,9,5,0,0,0,0,0,102,6,11,15,96,7,1,0,108,0,0,2,1,2,0.62,2,0,0,0,0,0,0,0,0,0,0,0,0,11,8,6,4,1,3,6,50,3,78,18,23.1,31,37,10,0,0,0,0,6,4,0,140,5,31,93,21,2,135,2,2,100,2,1,97,370,193,95,91,95.8,1,1,10,3,0,0,0,0,22,1,1,50
149,Alphonso Davies\Alphonso-Davies,ca CAN,FWMF,Vancouver,17,2000,31,27,2419,8,9,0,0,2,0,0.3,0.33,0.63,0.3,0.63,5,5,5.6,0.19,0.21,0.4,0.19,0.4,0,0,39,16,1,41,1.45,0.6,0.21,0.5,5,5,0.13,3,3,702,923,76.1,11916,3435,8,28,28.6,583,714,81.7,111,181,61.3,9,5.6,3.4,35,48,27,12,78,865,58,8,5,148,17,67,0,0,0,0,678,95,150,644,175,40,48,2,702,3,23,24,24,90,3.35,59,0,22,2,7,24,0.89,12,0,10,1,1,0,51,38,29,14,8,13,42,31,29,592,168,28.4,225,251,116,63,5,0,58,34,31,0,1384,52,328,649,601,126,1328,135,196,68.9,138,5,1121,11590,7908,1032,831,80.5,93,50,32,60,10,1,0,0,280,16,24,40
150,Sean Davis\Sean-Davis,us USA,MF,NY Red Bulls,24,1993,32,30,2574,0,4,0,0,1,0,0,0.14,0.14,0,0.14,0.4,0.4,2.9,0.01,0.1,0.11,0.01,0.11,0,0,8,3,1,37.5,0.28,0.1,0,0,0.4,0.4,0.05,-0.4,-0.4,1244,1618,76.9,21298,9081,15,36,41.7,1050,1227,85.6,179,355,50.4,4,2.9,1.1,45,204,20,2,243,1457,161,65,3,233,50,108,92,0,0,0,1112,141,365,391,1099,93,3,6,1244,3,43,32,29,79,2.76,37,38,2,1,1,9,0.31,6,3,0,0,0,0,78,49,33,35,10,24,69,34.8,45,528,175,33.1,172,306,50,60,5,0,55,66,56,0,1925,71,391,1139,499,16,1768,14,26,53.8,17,1,1132,4559,2215,1175,1105,94,20,18,28,27,1,0,0,1,387,33,19,63.5
151,Christian Dean\Christian-Dean,us USA,DF,Chicago,24,1993,2,2,177,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.04,0,0.04,0.04,0.04,0,0,1,0,0,0,0.51,0,0,,0.1,0.1,0.08,-0.1,-0.1,106,131,80.9,2275,766,0,1,0,76,82,92.7,30,48,62.5,0,0,0,0,13,0,0,6,130,1,1,0,15,3,2,0,0,0,0,105,10,16,92,34,5,0,0,106,0,8,2,2,1,0.51,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,5,2,0,3,7,42.9,4,17,3,17.6,12,5,0,4,0,0,4,5,17,0,159,9,86,78,7,1,158,0,0,,0,0,115,565,377,116,111,95.7,0,0,2,1,0,0,0,0,16,1,0,100
152,A.J. DeLaGarza\AJ-DeLaGarza,gu GUM,DF,Houston,30,1987,4,4,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0,0,0,0,,0,0,,,0,0,,0,0,141,173,81.5,2476,982,0,1,0,122,139,87.8,19,33,57.6,0,0,0,1,16,2,0,19,145,28,2,0,8,5,2,0,0,0,0,115,12,46,16,119,9,26,1,141,0,4,2,2,4,1,3,0,0,0,1,1,0.25,0,0,0,0,1,0,7,1,2,4,1,1,5,20,4,30,6,20,17,11,2,9,4,0,5,7,12,0,212,22,49,125,48,3,184,1,1,100,1,0,125,517,302,134,125,93.3,3,1,6,2,0,1,0,0,23,2,1,66.7
153,Antonio Delamea Mlinar\Antonio-Delamea-Mlinar,si SVN,DF,New England,26,1991,18,18,1514,0,0,0,0,8,1,0,0,0,0,0,0.5,0.5,0,0.03,0,0.03,0.03,0.03,0,0,5,0,0,0,0.3,0,0,,0.5,0.5,0.1,-0.5,-0.5,544,644,84.5,12196,4542,2,6,33.3,356,404,88.1,186,234,79.5,0,0,0,0,40,1,0,52,617,27,22,0,68,16,1,0,0,0,0,446,59,139,42,493,82,5,2,544,0,9,4,4,4,0.24,3,0,0,0,1,0,0,0,0,0,0,0,0,22,17,17,5,0,9,22,40.9,13,141,43,30.5,93,46,2,28,12,0,16,62,77,0,807,97,422,401,22,9,781,2,3,66.7,2,0,386,2428,1187,389,375,96.4,3,3,26,10,0,0,1,1,237,26,17,60.5
154,Jordy Delem\Jordy-Delem,mq MTQ,MFDF,Seattle,24,1993,16,10,858,1,0,0,0,5,0,0.1,0,0.1,0.1,0.1,0.7,0.7,0.1,0.07,0.01,0.08,0.07,0.08,0,0,3,1,0,33.3,0.31,0.1,0.33,1,0.7,0.7,0.23,0.3,0.3,270,345,78.3,5074,1524,3,6,50,211,258,81.8,56,81,69.1,0,0.1,-0.1,2,23,1,0,26,331,14,5,0,37,13,2,0,0,0,0,236,43,66,38,262,31,9,1,270,3,13,5,6,6,0.63,5,0,0,0,1,0,0,0,0,0,0,0,0,23,15,11,12,0,4,12,33.3,8,172,50,29.1,85,79,8,19,6,0,13,29,16,0,433,24,147,256,48,3,419,3,4,75,3,0,242,950,454,253,245,96.8,4,3,14,15,0,0,0,0,93,6,3,66.7
155,Nick DeLeon\Nick-DeLeon,us USA,DF,D.C. United,27,1990,15,12,1064,0,1,0,0,2,0,0,0.08,0.08,0,0.08,1.2,1.2,0.5,0.1,0.05,0.14,0.1,0.14,0,0,11,4,0,36.4,0.93,0.34,0,0,1.2,1.2,0.11,-1.2,-1.2,463,579,80,8115,3414,7,19,36.8,379,432,87.7,77,128,60.2,1,0.5,0.5,6,28,7,1,61,460,119,4,1,77,9,9,0,0,0,0,359,97,123,53,370,31,115,3,463,1,18,9,12,14,1.18,10,3,0,1,0,2,0.17,2,0,0,0,0,0,32,18,23,7,2,14,25,56,11,163,45,27.6,116,32,15,35,12,0,23,22,44,0,736,80,310,296,168,19,620,15,21,71.4,16,0,413,2366,1300,385,351,91.2,8,9,11,12,1,0,0,0,136,14,12,53.8
156,Marky Delgado\Marky-Delgado,us USA,MF,Toronto FC,22,1995,28,21,1983,2,2,0,0,3,0,0.09,0.09,0.18,0.09,0.18,1.7,1.7,2.1,0.08,0.09,0.17,0.08,0.17,0,0,13,5,0,38.5,0.59,0.23,0.15,0.4,1.7,1.7,0.13,0.3,0.3,1212,1454,83.4,20897,6272,10,42,23.8,1001,1145,87.4,201,267,75.3,2,2.1,-0.1,17,150,20,2,161,1433,21,14,2,253,37,22,0,0,0,0,1148,160,146,218,1156,61,6,5,1212,8,16,41,39,49,2.22,44,2,2,1,0,4,0.18,4,0,0,0,0,0,51,33,19,26,6,22,69,31.9,47,583,144,24.7,183,303,97,57,9,0,48,37,19,0,1701,44,279,1051,475,39,1681,19,25,76,21,1,1250,4966,2580,1361,1251,91.9,37,17,17,25,1,0,0,0,247,9,15,37.5
157,Clint Dempsey\Clint-Dempsey,us USA,MFFW,Seattle,34,1983,14,9,905,1,1,0,0,1,1,0.1,0.1,0.2,0.1,0.2,3.2,3.2,1.4,0.32,0.14,0.46,0.32,0.46,0,0,38,12,3,31.6,3.78,1.19,0.03,0.08,3.2,3.2,0.09,-2.2,-2.2,335,391,85.7,5877,1243,7,10,70,270,312,86.5,58,69,84.1,1,1.4,-0.4,15,40,16,3,42,373,18,4,4,93,17,4,0,0,0,0,291,57,43,76,287,11,4,6,335,3,4,9,5,26,2.59,23,0,1,0,2,1,0.1,1,0,0,0,0,0,9,6,2,2,5,2,3,66.7,1,163,39,23.9,17,82,64,7,1,0,6,0,1,0,512,1,34,282,224,41,494,10,13,76.9,11,0,410,2000,911,596,416,69.8,19,20,8,21,3,0,0,0,51,9,23,28.1
158,Gregory van der Wiel\Gregory-van-der-Wiel,nl NED,DF,Toronto FC,29,1988,27,25,2296,0,4,0,0,2,1,0,0.16,0.16,0,0.16,0.2,0.2,1.9,0.01,0.07,0.08,0.01,0.08,0,0,4,1,0,25,0.16,0.04,0,0,0.2,0.2,0.05,-0.2,-0.2,1277,1450,88.1,24100,8400,9,30,30,994,1090,91.2,274,330,83,4,1.9,2.1,12,109,18,6,145,1317,133,13,2,214,27,39,2,0,0,0,1058,210,182,153,1102,60,118,8,1277,3,16,17,30,26,1.02,23,2,0,0,1,4,0.16,4,0,0,0,0,0,29,17,17,8,4,10,28,35.7,18,264,70,26.5,147,86,31,31,8,0,23,55,72,0,1647,112,569,906,286,6,1517,11,23,47.8,11,3,1104,6093,3573,1133,1083,95.6,4,13,12,13,0,0,0,0,246,16,12,57.1
159,Tyler Deric\Tyler-Deric,us USA,GK,Houston,29,1988,2,2,180,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,0,0,36,65,55.4,1287,873,0,0,,10,10,100,26,55,47.3,0,0,0,0,1,0,0,0,43,22,5,0,1,1,0,0,0,0,0,24,2,39,7,44,0,0,11,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,1,0,68,59,68,0,0,0,46,0,0,,0,0,29,155,94,22,22,100,0,0,1,0,0,0,0,0,13,0,0,
160,Mauro Díaz\Mauro-Diaz,ar ARG,MFFW,FC Dallas,26,1991,12,9,803,2,5,2,2,3,0,0.22,0.56,0.78,0,0.56,3.2,1.6,3.2,0.35,0.35,0.71,0.18,0.54,2,2,18,3,4,16.7,2.02,0.34,0,0,3.2,1.6,0.09,-1.2,-1.6,438,559,78.4,8821,2882,3,10,30,320,367,87.2,115,182,63.2,5,3.2,1.8,40,63,22,4,98,472,87,37,6,96,29,55,41,0,0,0,376,68,115,20,514,17,6,0,438,4,19,13,8,63,7.06,38,16,4,2,3,9,1.01,8,0,1,0,0,0,11,7,1,8,2,5,10,50,5,177,37,20.9,17,95,65,14,0,0,14,3,1,0,679,4,67,384,280,27,605,24,39,61.5,27,1,521,3464,1724,574,503,87.6,15,27,8,29,2,0,0,0,61,1,8,11.1
161,Claude Dielna\Claude-Dielna,GPE,DF,New England,30,1987,17,15,1333,0,0,0,0,6,1,0,0,0,0,0,0.9,0.9,0.4,0.06,0.03,0.09,0.06,0.09,0,0,21,7,6,33.3,1.42,0.47,0,0,0.9,0.9,0.05,-0.9,-0.9,563,770,73.1,11889,5645,7,17,41.2,404,456,88.6,152,297,51.2,0,0.4,-0.4,5,55,7,5,98,647,123,27,1,90,42,38,20,0,0,0,418,103,249,556,89,33,76,2,563,2,21,14,12,12,0.81,11,1,0,0,0,1,0.07,1,0,0,0,0,0,40,24,26,12,2,14,30,46.7,16,152,53,34.9,91,50,11,18,2,0,16,38,89,0,975,62,384,482,160,10,851,6,16,37.5,7,0,529,2997,1682,532,494,92.9,9,6,28,7,1,0,0,0,169,26,14,65
162,Adama Diomande\Adama-Diomande,no NOR,FW,Los Angeles FC,27,1990,18,14,1248,12,4,0,0,1,0,0.87,0.29,1.15,0.87,1.15,9.1,9.1,2.1,0.66,0.15,0.81,0.66,0.81,0,0,38,19,0,50,2.74,1.37,0.32,0.63,9.1,9.1,0.24,2.9,2.9,186,258,72.1,2920,592,3,10,30,161,213,75.6,22,35,62.9,4,2.1,1.9,9,15,13,3,22,233,25,0,2,46,2,9,0,0,0,0,212,25,21,51,180,12,4,1,186,2,5,8,10,29,2.09,19,0,3,3,4,7,0.5,5,0,1,1,0,0,10,6,1,4,5,3,8,37.5,5,178,35,19.7,10,59,109,9,2,0,7,4,6,0,429,7,17,176,268,65,404,16,31,51.6,20,1,326,2096,1052,560,333,59.5,40,32,17,10,8,0,0,0,33,13,20,39.4
163,Bořek Dočkal\Borek-Dockal,cz CZE,MF,Philadelphia,29,1988,31,30,2380,5,11,1,1,1,0,0.19,0.42,0.61,0.15,0.57,4.2,3.4,8.5,0.16,0.32,0.48,0.13,0.45,1,1,42,18,2,42.9,1.59,0.68,0.1,0.22,4.2,3.4,0.08,0.8,0.6,1365,1786,76.4,26753,6909,16,55,29.1,993,1186,83.7,356,545,65.3,11,8.5,2.5,88,134,79,15,232,1572,214,50,7,204,77,145,97,0,0,0,1263,173,350,288,1413,47,24,5,1365,9,32,40,50,138,5.22,100,25,10,1,2,18,0.68,15,0,3,0,0,0,20,16,4,12,4,5,36,13.9,31,384,88,22.9,36,193,155,19,2,0,17,15,3,0,1981,10,157,1004,932,79,1773,29,38,76.3,29,0,1416,6739,3569,1708,1512,88.5,30,46,22,24,2,0,0,0,188,10,17,37
164,Marco Donadel\Marco-Donadel,it ITA,DF,Montreal,34,1983,2,1,97,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,0,0,2,0,0,0,1.86,0,0,,0,0,0.02,0,0,67,73,91.8,1595,766,1,1,100,42,44,95.5,24,28,85.7,0,0,0,0,12,2,1,16,70,3,2,0,7,4,1,0,0,0,0,55,12,6,4,65,2,1,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,10,4,40,8,1,1,1,0,0,1,2,1,0,80,8,37,40,11,0,77,1,1,100,1,0,60,352,276,61,59,96.7,0,0,1,0,0,0,0,0,14,1,2,33.3
165,Giovani dos Santos\Giovani-dos-Santos,mx MEX,MFFW,LA Galaxy,28,1989,14,10,823,3,2,0,0,2,0,0.33,0.22,0.55,0.33,0.55,3.2,3.2,1.6,0.35,0.17,0.53,0.35,0.53,0,0,23,9,1,39.1,2.52,0.98,0.13,0.33,3.2,3.2,0.14,-0.2,-0.2,316,382,82.7,5601,1301,4,10,40,257,281,91.5,55,91,60.4,2,1.6,0.4,12,31,15,5,44,360,22,9,4,89,15,26,5,0,0,0,291,36,55,318,47,12,3,2,316,3,5,3,5,26,2.84,20,1,4,0,1,4,0.44,3,0,1,0,0,0,6,6,3,2,1,2,13,15.4,11,141,24,17,15,80,46,4,0,0,4,1,1,0,464,1,33,265,204,32,443,17,21,81,17,0,398,2642,1359,463,377,81.4,14,14,9,12,2,0,0,0,46,0,5,0
166,Jonathan dos Santos\Jonathan-dos-Santos,mx MEX,MF,LA Galaxy,27,1990,23,22,1907,2,4,0,0,3,0,0.09,0.19,0.28,0.09,0.28,0.7,0.7,1.5,0.03,0.07,0.1,0.03,0.1,0,0,11,5,0,45.5,0.52,0.24,0.18,0.4,0.7,0.7,0.06,1.3,1.3,1312,1515,86.6,24691,7942,9,34,26.5,1022,1109,92.2,281,372,75.5,4,1.5,2.5,20,161,31,3,174,1425,90,61,1,206,36,35,17,0,0,0,1226,104,185,110,1361,26,11,3,1312,8,12,28,33,54,2.55,44,6,3,0,1,7,0.33,7,0,0,0,0,0,59,44,21,29,9,23,66,34.8,43,486,113,23.3,153,245,88,36,7,0,29,40,7,1,1711,37,373,1066,403,19,1633,42,56,75,45,0,1324,7101,3512,1287,1216,94.5,13,25,27,32,0,0,0,0,261,4,8,33.3
167,Kyle Duncan\Kyle-Duncan,us USA,DF,NY Red Bulls,20,1997,4,4,360,0,1,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0.3,0.01,0.06,0.07,0.01,0.07,0,0,1,0,0,0,0.25,0,0,,0,0,0.02,0,0,145,213,68.1,2067,1002,2,11,18.2,131,172,76.2,12,30,40,1,0.3,0.7,4,8,1,1,31,158,55,3,0,34,2,6,0,0,0,0,114,47,52,8,132,13,52,1,145,2,11,2,9,7,1.75,6,1,0,0,0,2,0.5,2,0,0,0,0,0,10,9,7,2,1,2,7,28.6,5,73,34,46.6,31,30,12,6,1,0,5,14,2,0,273,7,64,137,88,7,219,3,9,33.3,6,0,146,997,584,137,118,86.1,7,16,4,3,0,0,0,0,69,7,9,43.8
168,Julian Dunn-Johnson\Julian-Dunn-Johnson,ca CAN,DF,Toronto FC,17,2000,2,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,0,0,29,38,76.3,539,200,1,2,50,22,26,84.6,6,10,60,0,0,0,0,0,0,0,3,36,2,1,0,3,0,0,0,0,0,0,25,6,7,5,27,4,1,0,29,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,1,0,1,6,16.7,5,24,3,12.5,15,9,0,3,1,0,2,1,5,0,49,6,26,22,2,0,48,0,0,,0,0,23,83,36,20,20,100,0,2,0,1,0,0,0,0,16,4,0,100
169,Chris Durkin\Chris-Durkin,us USA,MF,D.C. United,17,2000,23,16,1506,0,0,0,0,4,0,0,0,0,0,0,0.5,0.5,0.4,0.03,0.02,0.05,0.03,0.05,0,0,6,1,0,16.7,0.36,0.06,0,0,0.5,0.5,0.08,-0.5,-0.5,701,837,83.8,13723,4178,10,21,47.6,527,586,89.9,164,230,71.3,0,0.4,-0.4,2,62,9,1,53,811,26,22,2,130,27,3,0,0,0,0,613,74,150,101,672,43,2,4,701,3,17,6,14,11,0.66,10,0,0,0,1,1,0.06,1,0,0,0,0,0,41,28,22,17,2,12,34,35.3,22,270,64,23.7,127,128,15,39,13,0,26,33,44,0,1025,97,406,569,96,5,1001,7,12,58.3,8,0,651,2749,1325,651,630,96.8,10,15,21,14,0,0,0,0,203,22,13,62.9
170,Chris Duvall\Chris-Duvall,us USA,DF,Montreal,26,1991,15,14,1192,0,1,0,0,4,0,0,0.08,0.08,0,0.08,0,0,0.8,0,0.06,0.06,0,0.06,0,0,1,0,0,0,0.08,0,0,,0,0,0.04,0,0,558,700,79.7,9979,3755,1,13,7.7,461,529,87.1,96,158,60.8,1,0.8,0.2,6,36,9,5,61,572,128,4,3,93,17,34,0,0,0,0,423,149,128,73,477,23,123,0,558,2,13,14,23,12,0.91,11,0,0,0,1,2,0.15,2,0,0,0,0,0,20,9,14,5,1,14,38,36.8,24,212,53,25,124,73,15,21,2,2,19,19,35,0,819,40,240,411,215,7,693,9,14,64.3,9,1,525,2248,1309,542,497,91.7,9,13,19,13,0,0,1,0,103,10,13,43.5
171,Dom Dwyer\Dom-Dwyer,us USA,FW,Orlando City,27,1990,26,25,2242,13,0,0,0,9,0,0.52,0,0.52,0.52,0.52,11.3,11.3,0.4,0.45,0.01,0.47,0.45,0.47,0,0,76,32,5,42.1,3.05,1.28,0.17,0.41,11.3,11.3,0.15,1.7,1.7,204,311,65.6,3303,426,7,18,38.9,168,224,75,29,69,42,0,0.4,-0.4,5,14,4,1,18,247,64,0,0,57,14,28,1,0,0,0,207,38,66,151,119,18,5,2,204,0,12,10,13,29,1.16,9,0,5,5,10,5,0.2,0,0,2,2,1,0,6,5,1,0,5,1,7,14.3,6,203,44,21.7,10,95,98,9,3,0,6,2,7,0,594,8,28,262,338,124,526,16,33,48.5,17,1,380,2336,1195,850,439,51.6,76,50,43,50,41,1,0,0,53,27,59,31.4
172,Jeremy Ebobisse\Jeremy-Ebobisse,us USA,FW,Portland,20,1997,9,5,450,2,0,0,0,1,0,0.4,0,0.4,0.4,0.4,1.9,1.9,0.6,0.38,0.12,0.5,0.38,0.5,0,0,11,3,0,27.3,2.2,0.6,0.18,0.67,1.9,1.9,0.17,0.1,0.1,80,115,69.6,1124,193,4,10,40,70,91,76.9,6,14,42.9,0,0.6,-0.6,7,6,5,1,10,115,0,0,0,30,1,2,0,0,0,0,72,19,24,62,18,17,0,7,80,0,2,1,3,12,2.4,12,0,0,0,0,1,0.2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,67,8,11.9,3,34,30,5,1,0,4,0,5,0,159,5,10,75,80,24,159,8,8,100,8,0,106,452,167,184,133,72.3,8,7,12,4,4,0,0,0,11,11,10,52.4
173,Earl Edwards Jr.\Earl-Edwards-Jr,us USA,GK,Orlando City,26,1992,5,5,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,0,0,139,176,79,4454,2411,0,0,,50,52,96.2,89,124,71.8,0,0,0,0,0,0,0,0,121,55,13,0,19,11,0,0,0,0,0,105,13,58,7,145,0,0,23,139,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,1,1,1,0,1,1,0,191,179,191,0,0,0,136,0,0,,0,0,103,506,243,91,91,100,0,0,0,0,0,0,0,0,18,0,0,
174,Raheem Edwards\Raheem-Edwards,ca CAN,FWMF,Montreal,22,1995,14,9,808,2,0,0,0,3,0,0.22,0,0.22,0.22,0.22,1.5,1.5,0.5,0.17,0.05,0.22,0.17,0.22,0,0,19,10,0,52.6,2.12,1.11,0.11,0.2,1.5,1.5,0.08,0.5,0.5,217,286,75.9,3515,894,4,12,33.3,184,225,81.8,29,49,59.2,0,0.5,-0.5,6,10,7,2,19,265,21,3,1,43,7,11,2,0,0,0,199,49,38,217,38,10,16,1,217,1,7,7,14,22,2.45,13,0,6,1,2,1,0.11,1,0,0,0,0,0,26,19,11,10,5,12,31,38.7,19,259,71,27.4,75,131,53,15,0,0,15,12,3,0,450,5,61,206,213,36,431,27,45,60,30,1,335,2020,1182,412,303,73.5,33,36,12,13,1,0,0,0,66,7,14,33.3
175,Raheem Edwards\Raheem-Edwards,ca CAN,FWMF,Chicago,22,1995,13,10,916,1,2,0,0,0,0,0.1,0.2,0.29,0.1,0.29,1.3,1.3,2.4,0.12,0.23,0.36,0.12,0.36,0,0,18,3,1,16.7,1.77,0.29,0.06,0.33,1.3,1.3,0.07,-0.3,-0.3,246,329,74.8,4586,1453,4,17,23.5,191,226,84.5,51,86,59.3,2,2.4,-0.4,16,13,16,4,40,297,32,1,3,34,19,29,13,0,0,0,222,38,69,237,55,15,17,1,246,1,5,7,12,26,2.55,20,2,2,1,1,5,0.49,2,0,2,1,0,0,23,14,13,6,4,7,27,25.9,20,248,60,24.2,76,118,54,19,0,0,19,14,7,0,490,17,114,207,218,36,459,26,52,50,27,0,357,2794,1806,399,314,78.7,24,20,15,12,5,0,0,0,66,7,8,46.7
176,Alberth Elis\Alberth-Elis,hn HON,FW,Houston,21,1996,30,27,2414,11,9,2,2,6,1,0.41,0.34,0.75,0.34,0.67,13.2,11.7,7.1,0.49,0.27,0.76,0.44,0.7,2,2,92,39,0,42.4,3.43,1.45,0.1,0.23,13.2,11.7,0.13,-2.2,-2.7,490,709,69.1,7056,1844,11,43,25.6,440,579,76,39,87,44.8,9,7.1,1.9,36,39,30,7,69,676,33,6,7,156,12,51,1,0,0,0,501,109,99,37,588,28,20,12,490,2,17,22,44,86,3.21,50,1,19,8,8,12,0.45,7,0,1,3,1,0,17,11,1,10,6,3,22,13.6,19,443,81,18.3,50,207,186,25,4,0,21,14,17,0,1196,20,81,479,744,209,1165,80,149,53.7,95,5,984,8010,5761,1330,935,70.3,111,81,33,50,7,0,0,0,130,47,60,43.9
177,Jack Elliott\Jack-Elliott,eng ENG,DF,Philadelphia,22,1995,17,16,1429,2,0,0,0,7,1,0.13,0,0.13,0.13,0.13,1.6,1.6,0,0.1,0,0.1,0.1,0.1,0,0,7,3,0,42.9,0.44,0.19,0.29,0.67,1.6,1.6,0.23,0.4,0.4,698,850,82.1,16077,5642,3,7,42.9,448,494,90.7,247,349,70.8,0,0,0,2,52,3,0,42,829,21,18,0,62,32,2,0,0,0,0,639,52,159,106,675,54,2,2,698,2,26,8,8,8,0.5,8,0,0,0,0,0,0,0,0,0,0,0,0,26,18,22,4,0,11,26,42.3,15,120,41,34.2,78,41,1,33,16,1,17,17,81,1,1012,113,608,433,28,13,992,2,3,66.7,2,0,676,3602,2141,656,652,99.4,3,1,21,10,0,0,0,0,176,16,6,72.7
