,Player,cluster,x,y
148,Hector Jiménez\Hector-Jimenez,0,-3893.2875461642475,1083.8449846069343
149,Sam Johnson\Sam-Johnson,5,-20061.987519978535,-252.04285571447508
150,Sean Johnson\Sean-Johnson,9,14037.397238826157,6454.299492673931
151,Will Johnson\Will-Johnson,0,-2618.879878724476,-2430.63481562755
152,DeJuan Jones\DeJuan-Jones,5,-14644.226817200992,760.7615307885876
153,Judson\Judson,3,8406.663211972767,-3553.5812633076644
154,Florian Jungwirth\Florian-Jungwirth,4,30494.250905829555,-2333.905064819422
155,Kaku\Kaku,6,-321.5648122121741,1593.769553818438
156,Brent Kallman\Brent-Kallman,0,-7000.1376083548985,-91.13787874789382
157,Kei Kamara\Kei-Kamara,2,-12269.192513578757,-1549.7017869528254
158,Johan Kappelhof\Johan-Kappelhof,6,2478.096431235249,-921.0237780166185
159,Guram Kashia\Guram-Kashia,1,15576.828723173556,509.06596670309443
160,Aleksandar Katai\Aleksandar-Katai,0,-6716.536857044135,-1133.2375100577017
161,Mark-Anthony Kaye\Mark-Anthony-Kaye,8,19979.489038605097,-1877.3357490565606
162,Kim Kee-hee\Kim-Kee-hee,1,13346.944156329568,-535.7301444393115
163,Sacha Kljestan\Sacha-Kljestan,0,-6194.063370857705,-1022.6543867754277
164,Damir Kreilach\Damir-Kreilach,3,8067.872979850583,-4716.342353161913
165,Kenneth Kronholm\Kenneth-Kronholm,6,-1152.552273154773,4368.57878524389
166,Roland Lamah\Roland-Lamah,2,-11889.217084362312,-780.4328638556024
167,Jeff Larentowicz\Jeff-Larentowicz,0,-6492.664015221064,-1805.4813264809702
168,Richie Laryea\Richie-Laryea,2,-9889.09673367612,-772.2294796179015
169,Kemar Lawrence\Kemar-Lawrence,2,-8714.813104819577,1797.4425071416379
170,Emmanuel Ledesma\Emmanuel-Ledesma,2,-10727.214696314608,-79.7117421889209
171,Kelvin Leerdam\Kelvin-Leerdam,3,5135.876603120744,-115.02650724317283
172,Brooks Lennon\Brooks-Lennon,0,-3934.728072961611,417.5496272231065
173,Nick Lima\Nick-Lima,0,-3784.2719130586634,-1142.6167897850876
174,Sebastian Lletget\Sebastian-Lletget,3,6966.229082605802,-4340.069336908597
175,Nicolás Lodeiro\Nicolas-Lodeiro,8,19898.45151028583,-1960.7444535210202
176,Aaron Long\Aaron-Long,0,-6681.6405830516915,2282.2183463218653
177,Marcos López\Marcos-Lopez,0,-6345.96897400977,-497.5590204547568
178,Daniel Lovitz\Daniel-Lovitz,3,9266.07620335552,638.8642185813097
179,Jorge Luis Corrales\Jorge-Luis-Corrales,2,-11520.387805548773,738.534213879986
180,Everton Luiz\Everton-Luiz,0,-3564.8112077887336,-2322.0226743113944
181,Adam Lundqvist\Adam-Lundqvist,3,5974.7856992348425,-493.99378591278565
182,Larrys Mabiala\Larrys-Mabiala,6,-778.8194892723368,-160.36043443594778
183,Michael Mancienne\Michael-Mancienne,2,-9852.279384813071,-16.544161647249783
184,Kekuta Manneh\Kekuta-Manneh,5,-16307.574906628135,-681.8348456360951
185,Vito Mannone\Vito-Mannone,9,13081.71941461322,10055.037800355109
186,Mauro Manotas\Mauro-Manotas,2,-12672.370669974332,-1499.7032387574268
187,Josef Martínez\Josef-Martinez,2,-13379.696119340868,-1557.4273813185134
188,Tomás Martínez\Tomas-Martinez,6,-1579.31083673879,-1636.9648430302634
189,Rónald Matarrita\Ronald-Matarrita,3,4983.246432953876,1457.5431964994555
190,Darren Mattocks\Darren-Mattocks,5,-19760.293065452086,-42.996366624937856
191,Chris Mavinga\Chris-Mavinga,3,7094.165104035049,-1017.7798182266837
192,Dax McCarty\Dax-McCarty,8,23585.366016548738,-3981.9598631697777
193,Thomas McNamara\Thomas-McNamara,2,-13658.615849119007,-493.54746717657554
194,Haris Medunjanin\Haris-Medunjanin,4,45064.450597390634,287.79683935538947
195,Tim Melia\Tim-Melia,7,11964.904378859677,6306.309259896503
196,Jhegson Méndez\Jhegson-Mendez,3,9489.905282805454,-2955.781859968702
197,Jonathan Mensah\Jonathan-Mensah,1,11544.729198343026,653.1101687842058
198,Justin Meram\Justin-Meram,2,-11963.178918337884,343.20493481749554
199,Romain Métanire\Romain-Metanire,1,10139.981167855613,3751.6109885111177
200,Nicolás Mezquida\Nicolas-Mezquida,2,-12042.122211412781,-457.62468918455465
201,Djordje Mihailovic\Djordje-Mihailovic,0,-7564.312875937862,-389.6143417367491
202,Kamal Miller\Kamal-Miller,0,-7863.643025261775,1219.005496295988
203,Tyler Miller\Tyler-Miller,7,6927.690585648707,7020.838134048987
204,Alexandru Mitriță\Alexandru-Mitrita,2,-9358.141746869074,1029.1216366652152
205,Jamiro Monteiro\Jamiro-Monteiro,3,6764.452984255761,-2267.000622211235
206,Fredy Montero\Fredy-Montero,2,-11996.410452022397,-84.58998594980363
207,Drew Moor\Drew-Moor,0,-6589.178634070879,759.4253742944128
208,Joseph Mora\Joseph-Mora,2,-10877.02843712433,1480.832336808238
209,Maximiliano Moralez\Maximiliano-Moralez,1,13454.851152960964,-1247.6098869156199
210,Jorge Moreira\Jorge-Moreira,1,12059.122024427734,942.4569966194457
211,Junior Moreno\Junior-Moreno,1,15605.324917243752,-2947.6519353084136
212,Jordan Morris\Jordan-Morris,2,-12463.946821412474,-1079.7446097129373
213,Justin Morrow\Justin-Morrow,6,3128.2552713974014,-1992.2322234986846
214,João Moutinho\Joao-Moutinho,0,-8261.685736345446,1058.5334733119066
215,Christopher Mueller\Christopher-Mueller,2,-12588.28663273955,-568.8204214065669
216,Alex Muyl\Alex-Muyl,5,-15500.050541505763,881.5217871236079
217,Darlington Nagbe\Darlington-Nagbe,8,19210.755739502412,-6391.989693519197
218,Nani\Nani,3,4157.092819266759,264.5315333139101
219,Krisztián Németh\Krisztian-Nemeth,5,-17749.284412790395,-888.1280033658229
