Rk,Player,Nation,Pos,Squad,Born,Min,CrdY,Ast,G-PK,xG,xA,npxG,npxG+xA,Sh/90,SoT/90,G/SoT,TotCmp%,TotDist,PrgDist,ShortCmp%,MedCmp%,LongCmp%,Prog,Live,Dead,TB,Press,Sw,Crs,Ground,Low,High,Left,Right
141,Maxime Crépeau\Maxime-Crepeau,ca CAN,GK,Vancouver,1994,2340,2,0,0,0,0,0,0,0,0,,69.6,22451,12537,,98.1,58.6,0,572,376,0,81,39,0,411,52,485,117,647
142,Alex Crognale\Alex-Crognale,us USA,DF,Columbus,1994,884,5,0,0,0.1,0,0.1,0.1,0.41,0,,82.5,7648,3637,33.3,89.6,73.8,31,377,12,1,32,13,0,256,36,97,38,317
143,Yohan Croizet\Yohan-Croizet,fr FRA,FWDF,Sporting KC,1992,1092,4,0.08,0.25,0.18,0.06,0.18,0.23,2.06,0.99,0.25,80.7,7146,2243,22.2,84.4,76.3,61,375,66,2,74,13,25,292,66,83,300,68
144,Cody Cropper\Cody-Cropper,us USA,GK,New England,1993,630,1,0,0,0,0,0,0,0,0,,72.8,4639,3057,,100,64.3,0,112,72,0,8,3,0,89,10,85,17,123
145,Allan Cruz\Allan-Cruz,cr CRC,MFFW,FC Cincinnati,1996,1734,5,0,0.36,0.25,0.05,0.25,0.3,1.82,1.04,0.35,73.3,6230,1753,26.1,79,60.7,44,478,24,3,123,11,13,311,102,89,63,384
146,Emil Cuello\Emil-Cuello,us USA,MFFW,LA Galaxy,1997,195,1,0.92,0,0.14,0.4,0.14,0.53,0.92,0,,72.6,843,251,50,77.8,60,6,61,1,1,14,4,5,41,11,10,50,7
147,Harold Cummings\Harold-Cummings,pa PAN,DF,San Jose,1992,1389,5,0,0,0,0.02,0,0.03,0.06,0.06,0,87.2,18205,6489,50,94.4,77.4,34,886,27,1,133,40,0,738,72,103,130,744
148,Rashawn Dally\Rashawn-Dally,jm JAM,FW,FC Cincinnati,1997,544,0,0,0.17,0.21,0.08,0.21,0.29,1.65,0.66,0.25,76.6,1570,193,12.5,80.9,78.6,6,117,20,1,32,2,1,97,27,13,20,103
149,Mario Daniel Vega\Mario-Daniel-Vega,ar ARG,GK,San Jose,1984,3060,1,0,0,0,0,0,0,0,0,,73.8,26406,13289,16.7,99,61.7,0,841,340,0,104,23,2,612,75,494,827,185
150,Abu Danladi\Abu-Danladi,gh GHA,FWMF,Minnesota,1995,718,3,0.25,0.25,0.28,0.18,0.28,0.47,2.76,0.75,0.33,68.8,2172,516,31.3,75.6,55.6,21,204,4,0,28,4,19,149,36,23,15,178
151,Juan David Cabezas\Juan-David-Cabezas,co COL,MF,Houston,1991,538,4,0,0.17,0.04,0.01,0.04,0.05,0.67,0.17,1,86.1,4091,1134,42.9,91.4,78.3,12,233,5,1,40,6,1,159,49,30,31,185
152,Sean Davis\Sean-Davis,us USA,MF,NY Red Bulls,1993,2557,0,0.04,0,0.02,0.06,0.02,0.08,0.46,0.14,0,76.8,19756,7647,35.3,85,48.4,180,1484,82,3,319,16,51,1031,179,356,395,1034
153,Alex DeJohn\Alex-DeJohn,us USA,DF,Orlando City,1991,403,1,0,0,0.02,0.02,0.02,0.04,0.22,0,,78.9,2181,891,,87.2,64.4,7,114,9,1,12,7,1,72,18,33,25,78
154,A.J. DeLaGarza\AJ-DeLaGarza,gu GUM,DF,Houston,1987,1991,5,0.05,0,0.01,0.02,0.01,0.03,0.27,0.05,0,82.5,15998,5417,47.4,90.8,64.9,122,798,223,1,130,18,19,580,209,232,95,650
155,Antonio Delamea Mlinar\Antonio-Delamea-Mlinar,si SVN,DF,New England,1991,1366,7,0.07,0.13,0.07,0,0.07,0.08,0.46,0.13,1,89.7,11326,3923,33.3,91.3,88.3,47,560,23,0,51,14,1,426,74,83,33,468
156,Jordy Delem\Jordy-Delem,mq MTQ,MF,Seattle,1993,1437,4,0,0,0.02,0,0.02,0.02,0.44,0,,83.8,10844,3407,38.5,85.9,80.6,53,660,20,0,112,15,3,496,84,100,75,532
157,Nick DeLeon\Nick-DeLeon,us USA,MFFW,Toronto FC,1990,1853,2,0.05,0.29,0.21,0.12,0.21,0.33,1.99,0.73,0.4,83.7,12576,3188,45.2,89.3,70.2,74,852,55,1,167,29,36,656,148,103,89,736
158,Marky Delgado\Marky-Delgado,us USA,MF,Toronto FC,1995,2548,4,0.18,0.07,0.09,0.12,0.09,0.21,1.38,0.28,0.25,85.9,28297,8576,43.8,89.5,77.8,218,1845,19,3,358,41,31,1451,229,184,251,1536
159,Mathieu Deplagne\Mathieu-Deplagne,fr FRA,DF,FC Cincinnati,1991,2875,4,0.03,0.03,0.08,0.03,0.08,0.11,0.69,0.19,0.17,80.8,22687,8845,25.7,88.6,60.5,193,1250,283,1,206,43,40,909,280,344,135,1028
160,Maikel van der Werff\Maikel-van-der-Werff,nl NED,DF,FC Cincinnati,1989,990,2,0,0,0.08,0.02,0.08,0.1,0.36,0.09,0,84.7,9195,3229,,89.7,77.7,32,423,28,0,58,22,1,273,66,112,27,374
161,Tyler Deric\Tyler-Deric,us USA,GK,Houston,1988,630,0,0,0,0,0,0,0,0,0,,52.7,3987,2749,,100,36.3,1,134,92,0,14,6,0,78,7,141,17,157
162,Justin Dhillon\Justin-Dhillon,us USA,FW,Seattle,1995,264,0,0,0,0.27,0.19,0.27,0.46,2.05,1.02,0,70.5,436,62,,79.4,40,1,38,6,0,13,1,0,28,7,9,8,24
163,Zakaria Diallo\Zakaria-Diallo,fr FRA,DF,Montreal,1986,2036,2,0.09,0.13,0.08,0.03,0.08,0.12,0.44,0.13,1,84.3,26934,9947,35.7,87.6,81.5,95,1252,63,2,160,47,4,947,153,215,232,1003
164,Luis Díaz\Luis-Diaz,cr CRC,FWMF,Columbus,1998,796,1,0.34,0.23,0.11,0.26,0.11,0.37,2.04,1.02,0.22,67.3,2168,645,21.4,80,40.5,19,187,9,2,29,10,38,114,40,42,25,152
165,Eric Dick\Eric-Dick,us USA,GK,Sporting KC,1994,90,0,0,0,0,0,0,0,0,0,,64.3,652,450,,100,44.4,1,19,9,0,3,3,0,11,3,14,2,15
166,Claude Dielna\Claude-Dielna,GPE,DF,Portland,1987,1087,3,0,0,0.1,0.01,0.1,0.11,1.08,0.08,0,84.3,11632,4161,25,92.2,74.5,42,592,20,0,54,18,7,431,65,116,478,90
167,Adama Diomande\Adama-Diomande,no NOR,FW,Los Angeles FC,1990,1436,1,0.31,0.5,0.59,0.21,0.59,0.81,3.64,1.13,0.44,73.6,3962,780,38.9,79.6,57.6,35,304,33,7,80,3,5,264,47,26,67,238
168,Clément Diop\Clement-Diop,sn SEN,GK,Montreal,1993,180,0,0,0,0,0,0,0,0,0,,55.4,927,584,,94.4,36.8,0,33,23,0,1,0,0,19,5,32,0,47
169,Griffin Dorsey\Griffin-Dorsey,us USA,DF,Toronto FC,1999,4,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,1,0,0,0,0,0,0,1,0,0,1
170,Jonathan dos Santos\Jonathan-dos-Santos,mx MEX,MF,LA Galaxy,1990,2542,5,0.11,0.04,0.04,0.12,0.01,0.14,0.42,0.11,0.33,89.3,38316,12243,66.7,95,77.9,230,1947,171,2,274,117,105,1616,186,316,106,1963
171,Hassani Dotson\Hassani-Dotson,us USA,DFMF,Minnesota,1997,1410,2,0,0.26,0.04,0.02,0.04,0.06,0.89,0.45,0.57,75.7,9259,2787,25,83.2,61.3,63,627,48,1,112,13,30,460,88,127,76,503
172,Kyle Duncan\Kyle-Duncan,us USA,DF,NY Red Bulls,1997,1078,4,0.17,0.08,0.05,0.09,0.05,0.14,0.5,0.08,1,68.9,6588,3844,13.6,79.9,43.1,104,405,164,2,85,5,18,259,121,189,23,356
173,Chris Durkin\Chris-Durkin,us USA,MF,D.C. United,2000,640,1,0,0.14,0.02,0.05,0.02,0.07,0.56,0.14,1,79,5780,1535,9.1,86.2,67.3,15,368,9,1,80,15,5,261,38,78,36,313
174,Chris Duvall\Chris-Duvall,us USA,DF,Houston,1991,90,0,0,0,0,0,0,0,0,0,,77.6,828,297,,92.9,37.5,4,51,7,0,6,1,2,35,13,10,6,43
175,Dom Dwyer\Dom-Dwyer,us USA,FW,Orlando City,1990,1616,6,0.17,0.39,0.5,0.08,0.5,0.58,3.56,1.34,0.29,72.5,2737,412,38.5,76.2,66.7,19,199,34,1,54,6,16,141,53,39,127,71
176,Jeremy Ebobisse\Jeremy-Ebobisse,us USA,FW,Portland,1997,2307,3,0.04,0.43,0.41,0.07,0.41,0.49,2.03,0.82,0.52,75.3,7615,1344,35,80.8,62,41,566,12,0,152,18,20,363,106,109,390,105
