Rk,Player,Nation,Pos,Squad,Born,Min,CrdY,Ast,G-PK,xG,xA,npxG,npxG+xA,Sh/90,SoT/90,G/SoT,TotCmp%,TotDist,PrgDist,ShortCmp%,MedCmp%,LongCmp%,Prog,Live,Dead,TB,Press,Sw,Crs,Ground,Low,High,Left,Right
223,Boniek García\Boniek-Garcia,hn HON,MF,Houston,1984,2577,5,0.03,0,0.03,0.06,0.03,0.09,0.52,0.1,0,86.1,22767,5402,42.4,91.2,74.6,146,1339,60,4,250,59,29,1060,170,169,134,1199
224,Kevin Garcia\Kevin-Garcia,us USA,DF,Houston,1990,816,1,0,0,0.01,0,0.01,0.01,0.11,0,,81.6,7934,2384,0,88.6,71.2,21,415,35,0,60,9,3,308,46,96,161,227
225,Greg Garza\Greg-Garza,us USA,DF,FC Cincinnati,1991,908,1,0,0,0,0.08,0,0.08,0,0,,84,9084,3554,38.5,89,73.6,78,496,91,1,54,15,17,377,101,109,444,32
226,Chase Gasper\Chase-Gasper,us USA,DF,Minnesota,1996,1293,7,0,0,0.02,0.03,0.02,0.06,0.35,0.07,0,77.7,10365,4217,18.8,88.3,59.1,85,556,121,0,70,17,50,382,125,170,448,72
227,Carles Gil\Carles-Gil,es ESP,MFFW,New England,1992,3051,5,0.35,0.18,0.23,0.25,0.12,0.37,1.8,0.56,0.32,75.8,31598,10987,29.2,85.9,58.1,387,1822,296,13,323,101,207,1400,276,442,1799,266
228,Justen Glad\Justen-Glad,us USA,DF,Real Salt Lake,1997,2063,2,0,0,0.04,0.01,0.04,0.05,0.35,0.09,0,85.7,20687,8052,14.3,91.2,77,68,1065,29,0,135,41,2,811,124,159,106,886
229,Aníbal Godoy\Anibal-Godoy,pa PAN,MF,San Jose,1990,1343,8,0.07,0,0.01,0.06,0.01,0.07,0.34,0.13,0,89.7,17086,3695,37.5,91.6,88.6,72,814,48,2,160,57,0,646,84,132,670,132
230,Erik Godoy\Erik-Godoy,ar ARG,DF,Vancouver,1993,2597,6,0.03,0.03,0.03,0.03,0.03,0.06,0.45,0.07,0.5,82.4,25265,9827,37.5,92.2,70.6,93,1268,61,1,165,42,8,887,132,310,97,1155
231,Leandro González Pirez\Leandro-Gonzalez-Pirez,ar ARG,DF,Atlanta,1992,2699,11,0,0.03,0.07,0.01,0.07,0.08,0.83,0.2,0.17,85,40350,15003,23.3,93.2,76.9,173,1841,110,5,254,84,5,1310,220,421,335,1491
232,Giancarlo González\Giancarlo-Gonzalez,cr CRC,DF,LA Galaxy,1988,1434,5,0,0.06,0.04,0.01,0.04,0.05,0.38,0.13,0.5,80.9,10101,3445,33.3,89.3,71.8,16,505,24,0,60,19,3,336,61,132,27,439
233,Jesse Gonzalez\Jesse-Gonzalez,mx MEX,GK,FC Dallas,1995,2880,5,0,0,0,0,0,0,0,0,,81.9,23270,11365,66.7,98.6,69.8,1,720,309,0,91,24,1,651,68,310,66,812
234,Omar Gonzalez\Omar-Gonzalez,us USA,DF,Toronto FC,1988,1260,0,0.07,0.07,0.04,0.01,0.04,0.05,0.93,0.29,0.25,84.9,14693,5033,38.5,93.9,74.4,45,739,9,1,111,24,0,542,76,130,156,538
235,Ján Greguš\Jan-Gregus,sk SVK,MF,Minnesota,1991,2677,4,0.3,0.03,0.05,0.18,0.05,0.24,1.92,0.47,0.07,81.7,32252,9519,54.2,89.8,66.7,237,1674,230,4,252,146,162,1260,199,445,319,1482
236,Julian Gressel\Julian-Gressel,de GER,DFFW,Atlanta,1993,2686,3,0.37,0.2,0.16,0.31,0.16,0.47,2.31,0.84,0.24,72.1,21823,7954,14.8,82.9,56.3,220,1267,226,16,213,67,176,897,267,329,112,1207
237,Carlos Gruezo\Carlos-Gruezo,ec ECU,MF,FC Dallas,1995,783,1,0,0.11,0.07,0.02,0.07,0.09,0.8,0.11,1,88.9,9763,1972,16.7,93.5,79.3,26,538,19,0,105,17,3,450,47,60,38,501
238,Felipe Gutiérrez\Felipe-Gutierrez,cl CHI,MF,Sporting KC,1990,2716,11,0.03,0.23,0.31,0.16,0.16,0.32,1.92,0.76,0.3,84.2,26960,7198,35.6,92,71.2,182,1484,117,10,252,62,65,1111,220,270,1343,175
239,Jeremiah Gutjahr\Jeremiah-Gutjahr,us USA,DF,Chicago,1997,503,1,0.18,0,0.01,0.07,0.01,0.07,0.18,0,,72.6,2949,1197,14.3,86.5,41.7,27,198,32,2,42,2,9,124,31,75,49,133
240,Andrew Gutman\Andrew-Gutman,us USA,DF,FC Cincinnati,1996,483,2,0.19,0,0.03,0.05,0.03,0.08,0.56,0,,77.9,3788,2003,50,88.6,50.7,53,224,56,0,31,2,18,143,74,63,193,20
241,Brad Guzan\Brad-Guzan,us USA,GK,Atlanta,1984,3060,0,0,0,0,0,0,0,0,0,,73.5,30447,17544,,99.4,64.6,0,848,386,1,75,69,1,535,146,553,597,417
242,David Guzmán\David-Guzman,cr CRC,MF,Portland,1990,348,0,0.26,0,0.04,0.33,0.04,0.37,1.29,0,,82.5,2645,606,50,90.3,68.9,17,161,5,0,19,11,1,123,25,18,42,116
243,David Guzmán\David-Guzman,cr CRC,MF,Columbus,1990,1137,6,0,0,0.06,0.04,0.06,0.1,1.35,0.24,0,81.3,13002,3265,18.2,90.4,69,56,655,62,0,101,41,23,454,99,164,192,497
244,Edwin Gyasi\Edwin-Gyasi,gh GHA,FW,FC Dallas,1991,84,0,0,0,0.09,0.02,0.09,0.11,2.14,1.07,0,60,257,12,25,81.3,20,1,25,0,0,3,1,4,16,5,4,20,5
245,Joe Gyau\Joe-Gyau,us USA,FWMF,FC Cincinnati,1992,461,0,0,0,0.1,0.01,0.1,0.12,2.34,0.98,0,83.1,1696,328,28.6,87.2,70,10,139,3,1,32,0,6,109,18,15,12,122
246,Justin Haak\Justin-Haak,us USA,MF,NYCFC,2001,7,0,0,0,0,0,0,0,0,0,,100,10,7,,100,,0,1,0,0,0,0,0,1,0,0,0,1
247,Nick Hagglund\Nick-Hagglund,us USA,DF,FC Cincinnati,1992,1803,2,0,0,0.05,0.01,0.05,0.06,0.4,0.05,0,81.1,18374,7044,28.6,89.2,73.6,44,889,25,2,150,45,5,580,109,225,161,643
248,Marlon Hairston\Marlon-Hairston,us USA,FW,Houston,1994,412,0,0,0,0.15,0.12,0.15,0.28,1.31,0.87,0,78.1,1771,272,20,86,65,5,131,6,0,30,2,8,109,18,10,19,104
249,Siad Haji\Siad-Haji,us USA,DFMF,San Jose,1999,44,0,0,0,0,0,0,0,0,0,,78.6,337,138,100,83.3,33.3,5,28,0,0,4,0,2,22,3,3,1,27
250,Niko Hämäläinen\Niko-Hamalainen,fi FIN,DF,Los Angeles FC,1997,96,0,0.94,0,0,0.03,0,0.03,0,0,,80.3,974,301,0,92.7,46.2,6,63,8,0,13,2,4,49,13,9,55,4
251,Bill Hamid\Bill-Hamid,us USA,GK,D.C. United,1990,2970,0,0,0,0,0.01,0,0.01,0,0,,60.5,18042,12685,0,99.5,48.3,0,499,372,0,37,29,0,343,44,484,35,633
252,Jordan Hamilton\Jordan-Hamilton,ca CAN,FW,Columbus,1996,60,0,0,0,0.16,0,0.16,0.16,1.5,0,,70.6,182,2,0,78.6,50,0,16,1,0,3,1,0,10,3,4,10,2
253,Jordan Hamilton\Jordan-Hamilton,ca CAN,FW,Toronto FC,1996,624,0,0,0.58,0.6,0.03,0.6,0.62,3.17,1.73,0.33,84.6,1488,109,57.1,90,53.8,4,125,5,0,35,2,1,87,36,7,80,37
254,Niko Hansen\Niko-Hansen,dk DEN,MFDF,Columbus,1994,252,1,0,0,0,0.07,0,0.07,0,0,,82.6,1973,593,0,87.4,73.1,17,123,9,0,21,3,7,93,21,18,13,102
255,Niko Hansen\Niko-Hansen,dk DEN,MFFW,Houston,1994,38,0,0,0,0.13,0,0.13,0.13,2.37,0,,60.9,207,37,0,63.2,66.7,2,22,1,0,8,0,1,16,4,3,2,17
256,Jordan Harvey\Jordan-Harvey,us USA,DF,Los Angeles FC,1984,2359,4,0.15,0.04,0.04,0.08,0.04,0.13,0.42,0.08,0.5,87.6,21517,7668,40.7,91.9,72.5,145,1203,241,0,178,7,24,941,325,178,953,176
257,Nicolas Hasler\Nicolas-Hasler,li LIE,DF,Sporting KC,1991,636,0,0,0,0.01,0.09,0.01,0.1,0.28,0,,81.5,6371,2337,30.8,87,72,43,334,71,0,51,7,7,275,58,72,30,295
258,Nicolas Hasler\Nicolas-Hasler,li LIE,DF,Chicago,1991,74,0,0,0,0.03,0.07,0.03,0.09,1.22,1.22,0,79.1,635,218,0,90.3,60,5,38,5,1,7,0,2,30,3,10,9,28
259,Jacori Hayes\Jacori-Hayes,us USA,MF,FC Dallas,1995,854,1,0.21,0,0.04,0.03,0.04,0.08,0.84,0.21,0,87,8792,1941,42.9,88.9,85.2,35,538,17,0,84,7,2,478,47,30,119,425
260,Héber\Heber,br BRA,FW,NYCFC,1991,1573,1,0.17,0.86,0.63,0.14,0.63,0.77,3.09,1.49,0.58,77.7,5935,1019,39.3,81.3,74.7,37,439,31,2,106,9,3,308,108,54,125,288
261,Matt Hedges\Matt-Hedges,us USA,DF,FC Dallas,1990,2883,5,0,0.03,0.05,0.02,0.05,0.07,0.31,0.09,0.33,89,37743,15277,58.3,94,81.6,89,1865,31,0,228,61,1,1464,176,256,169,1616
262,Doneil Henry\Doneil-Henry,ca CAN,DF,Vancouver,1993,2123,3,0,0.17,0.05,0,0.05,0.05,0.47,0.25,0.67,82.8,17118,6688,50,91.1,71.4,20,892,28,1,114,30,0,653,93,174,188,684
263,Fabian Herbers\Fabian-Herbers,de GER,MFFW,Chicago,1993,780,3,0.12,0.35,0.22,0.13,0.22,0.35,2.08,0.69,0.5,82.4,4710,1010,12.5,87,81.3,29,330,11,0,67,6,14,242,53,46,51,260
264,Felipe Hernandez\Felipe-Hernandez,us USA,MF,Sporting KC,1998,96,0,0,0,0.03,0,0.03,0.03,0.94,0,,81.8,272,96,0,85.7,,2,22,0,0,6,0,2,17,0,5,0,18
265,Aaron Herrera\Aaron-Herrera,us USA,DF,Real Salt Lake,1997,2768,7,0.1,0,0.02,0.08,0.02,0.1,0.59,0.16,0,79.9,26671,9715,25,89.1,65.8,179,1248,302,4,244,100,42,878,299,373,157,1066
266,Federico Higuaín\Federico-Higuain,ar ARG,MF,Columbus,1984,1129,2,0.24,0.08,0.18,0.2,0.12,0.31,1.51,0.4,0.2,78,12728,4008,31.6,87.3,63.4,113,728,98,7,104,44,61,515,143,168,77,710
267,Cristian Higuita\Cristian-Higuita,co COL,MF,Orlando City,1994,643,5,0,0,0.03,0.02,0.03,0.05,0.84,0.14,0,86.8,7117,1597,40,89.6,82.7,31,421,11,1,73,15,1,329,64,39,11,397
268,Danny Hoesen\Danny-Hoesen,nl NED,FW,San Jose,1991,1478,1,0.18,0.3,0.53,0.18,0.53,0.71,3.78,1.64,0.19,73.5,4582,1062,40.6,79.1,66.2,46,336,34,3,74,12,14,266,58,46,39,313
269,Ryan Hollingshead\Ryan-Hollingshead,us USA,DF,FC Dallas,1991,2960,3,0.03,0.18,0.11,0.06,0.11,0.17,1.22,0.52,0.35,83.7,27066,9095,31.7,87.8,73.5,173,1525,249,0,257,40,35,1176,368,230,550,879
270,Erik Holt\Erik-Holt,us USA,DF,Real Salt Lake,1996,370,0,0,0,0,0,0,0,0,0,,76.6,2368,802,,84.2,67.2,9,134,3,0,9,4,0,91,17,29,15,103
271,Shandon Hopeau\Shandon-Hopeau,us USA,FW,Seattle,1998,33,0,0,0,0,0,0,0,0,0,,83.3,137,24,,83.3,,1,12,0,0,6,0,0,8,3,1,1,9
272,André Horta\Andre-Horta,pt POR,MF,Los Angeles FC,1996,184,1,0,0,0.11,0.03,0.11,0.14,1.96,0,,86.7,1984,515,100,89,77.8,19,122,6,1,27,4,5,101,15,12,10,116
273,Tim Howard\Tim-Howard,us USA,GK,Colorado,1979,2159,1,0,0,0,0,0,0,0,0,,56,17092,13034,100,98,45.6,1,424,348,0,40,16,0,199,52,521,72,529
274,Justin Hoyte\Justin-Hoyte,tt TRI,DF,FC Cincinnati,1984,1476,3,0,0,0,0.01,0,0.01,0.12,0,,88.6,14603,4986,50,93.3,79.7,56,693,97,0,109,11,8,579,98,113,34,633
275,Erik Hurtado\Erik-Hurtado,us USA,FW,Sporting KC,1990,816,1,0,0.22,0.37,0.05,0.37,0.42,2.32,0.99,0.22,78.8,1807,103,40,84.8,52.9,5,149,16,0,40,3,0,113,35,17,13,139
276,Emerson Hyndman\Emerson-Hyndman,us USA,MFFW,Atlanta,1996,987,1,0.09,0.09,0.15,0.08,0.15,0.23,1.37,0.55,0.17,85.7,6075,1723,61.1,88.7,75.4,54,420,14,2,100,7,7,353,46,35,27,383
277,Miguel Ibarra\Miguel-Ibarra,us USA,FWMF,Minnesota,1990,1506,4,0.06,0.06,0.15,0.15,0.15,0.3,1.43,0.24,0.25,79.7,8102,2059,31.8,85.3,65.8,57,565,37,0,98,14,21,390,117,95,136,397
278,Romario Ibarra\Romario-Ibarra,ec ECU,FW,Minnesota,1994,380,1,0,0.47,0.29,0.06,0.29,0.34,2.61,1.66,0.29,60.5,688,204,18.2,72.1,33.3,10,77,4,0,19,1,5,55,18,8,15,60
279,Sebastien Ibeagha\Sebastien-Ibeagha,us USA,DF,NYCFC,1992,1117,1,0,0,0,0,0,0,0.24,0.08,0,87.1,9832,3342,30,93.4,77.9,25,519,22,0,55,14,1,419,52,70,42,456
280,Zlatan Ibrahimović\Zlatan-Ibrahimovic,se SWE,FW,LA Galaxy,1981,2610,7,0.24,0.83,0.81,0.21,0.62,0.83,4.93,2.03,0.41,71.6,12011,3168,14.7,75,67.9,125,894,89,9,268,27,20,578,209,196,105,698
281,Ilsinho\Ilsinho,br BRA,FWMF,Philadelphia,1985,1094,2,0.41,0.41,0.19,0.24,0.18,0.42,1.89,0.9,0.45,84.6,9107,2577,42.1,87.8,69.6,75,665,47,7,104,5,12,566,95,51,28,625
282,Hwang In-beom\Hwang-In-beom,kr KOR,MF,Vancouver,1996,2806,6,0.1,0.06,0.09,0.11,0.07,0.18,1.51,0.45,0.14,84.8,30436,7616,50,89.8,74.4,168,1744,80,9,322,81,50,1317,251,256,437,1311
283,Clint Irwin\Clint-Irwin,us USA,GK,Colorado,1989,901,0,0,0,0,0,0,0,0,0,,57.2,6865,5538,0,98.2,47.9,0,159,131,0,12,8,0,63,12,215,22,200
284,Andreas Ivan\Andreas-Ivan,ro ROU,FWMF,NY Red Bulls,1995,490,0,0.37,0.18,0.22,0.09,0.22,0.31,3.67,0.92,0.2,59.6,1515,677,50,69.1,28.6,22,147,19,0,49,8,25,89,33,44,50,96
285,Niki Jackson\Niki-Jackson,us USA,FWMF,Colorado,1995,39,0,0,0,0.24,0,0.24,0.24,4.62,2.31,0,53.8,113,11,0,62.5,66.7,0,12,1,0,4,0,0,7,3,3,0,10
286,Anthony Jackson-Hamel\Anthony-Jackson-Hamel,ca CAN,FW,Montreal,1993,623,0,0,0.43,0.26,0.1,0.26,0.36,2.31,0.87,0.5,74.1,1874,285,33.3,75.2,74.1,10,129,14,0,32,4,3,82,35,26,8,107
287,Modou Jadama\Modou-Jadama,us USA,DF,Portland,1994,90,0,0,0,0,0,0,0,0,0,,76.7,633,221,0,89.7,63.6,5,38,5,0,6,1,3,25,3,15,4,32
288,Dejan Jakovic\Dejan-Jakovic,ca CAN,DF,Los Angeles FC,1985,181,1,0,0,0,0.01,0,0.01,0,0,,88.1,1537,649,,87.9,88.5,11,80,4,0,8,1,1,68,8,8,7,72
289,Robin Jansson\Robin-Jansson,se SWE,DF,Orlando City,1991,2420,6,0,0,0.03,0,0.03,0.03,0.37,0,,85.2,18807,7288,26.7,95.3,72.6,61,950,32,0,111,30,2,727,77,178,791,131
290,Leonardo Jara\Leonardo-Jara,ar ARG,DF,D.C. United,1991,2290,5,0.2,0.04,0.06,0.09,0.06,0.16,1.3,0.16,0.25,78.6,18770,6212,38.5,88.2,59,124,1074,184,2,171,41,43,731,238,289,31,986
291,Hector Jiménez\Hector-Jimenez,us USA,DF,Columbus,1988,1619,1,0.11,0.06,0.03,0.09,0.03,0.12,0.39,0.17,0.33,81.3,13559,5501,47.8,87.4,67.1,120,742,164,2,88,17,28,506,219,181,104,578
292,Sam Johnson\Sam-Johnson,lr LBR,FW,Real Salt Lake,1993,1299,1,0,0.62,0.33,0.02,0.33,0.35,2.29,0.83,0.75,72.2,3252,503,37.5,74.6,72.5,14,270,14,0,85,3,7,157,67,60,30,192
293,Sean Johnson\Sean-Johnson,us USA,GK,NYCFC,1989,2610,5,0,0,0,0,0,0,0,0,,73.8,24057,13554,75,99.3,59.1,0,716,382,0,66,42,0,603,58,437,166,745
294,Will Johnson\Will-Johnson,ca CAN,MF,Orlando City,1987,1692,2,0.05,0.05,0.09,0.02,0.09,0.11,1.49,0.32,0.17,86.9,15298,3491,37,90.9,82,55,860,35,0,142,36,11,664,109,122,127,708
295,DeJuan Jones\DeJuan-Jones,us USA,DFMF,New England,1997,1297,0,0,0.07,0.09,0.05,0.05,0.1,0.97,0.35,0.2,76.9,6555,2560,40.9,84.1,50.6,70,451,91,0,68,5,31,326,117,99,151,273
296,Derrick Jones\Derrick-Jones,us USA,MF,Philadelphia,1997,58,0,0,0,0,0,0,0,0,0,,92.9,182,60,,92.3,100,2,14,0,0,1,0,0,12,1,1,0,12
297,Joevin Jones\Joevin-Jones,tt TRI,FWDF,Seattle,1991,923,2,0.2,0,0.04,0.18,0.04,0.21,1.27,0.59,0,84.2,8159,1810,23.8,91.5,68.2,39,490,54,1,107,18,33,400,63,81,425,75
298,Judson\Judson,br BRA,MF,San Jose,1993,1909,10,0,0.05,0.04,0.02,0.04,0.06,0.71,0.19,0.25,88.7,22863,5531,38.5,91,86.3,83,1096,36,3,144,59,3,857,124,151,165,907
299,Florian Jungwirth\Florian-Jungwirth,de GER,DF,San Jose,1989,2670,4,0.03,0,0.04,0,0.04,0.04,0.61,0.2,0,89.2,37126,11926,10,91.4,87.3,122,1626,53,2,185,83,4,1314,135,230,478,1103
300,Vitor Junior\Vitor-Junior,br BRA,DF,LA Galaxy,1989,9,0,0,0,0,0,0,0,0,0,,91.7,174,8,100,90,100,0,12,0,0,0,0,0,10,2,0,2,10
301,Mathias Jørgensen\Mathias-Jorgensen,dk DEN,FWMF,NY Red Bulls,2000,120,1,0,0,0.14,0,0.14,0.14,3,0.75,0,80,208,29,100,81.3,50,0,17,3,0,5,0,1,15,2,3,3,14
302,Kaku\Kaku,py PAR,MF,NY Red Bulls,1995,1924,0,0.19,0.23,0.17,0.3,0.17,0.47,1.68,0.56,0.42,68.2,15756,6772,16.3,76.9,53.4,248,1141,126,18,267,30,107,747,226,294,1027,175
303,Brent Kallman\Brent-Kallman,us USA,DF,Minnesota,1990,1283,2,0.07,0,0.01,0.04,0.01,0.05,0.07,0,,88.9,11829,3914,40,91.2,85.8,29,606,5,0,67,25,0,466,69,76,108,453
304,Kei Kamara\Kei-Kamara,sl SLE,FW,Colorado,1984,2539,5,0.04,0.35,0.59,0.09,0.4,0.49,3.12,1.24,0.29,73.2,8692,1649,25.6,79.3,56.2,58,726,46,2,200,12,33,452,187,133,99,498
305,Ola Kamara\Ola-Kamara,no NOR,FW,D.C. United,1989,256,0,0,1.05,0.52,0.09,0.52,0.6,2.81,2.11,0.5,77.1,797,102,75,78.6,70,4,66,4,1,34,1,1,37,21,12,8,49
306,Johan Kappelhof\Johan-Kappelhof,nl NED,DF,Chicago,1990,2560,5,0.04,0,0.02,0.02,0.02,0.03,0.21,0,,84.5,18265,5793,41.7,92,68.5,76,1004,131,1,142,20,10,747,170,218,140,810
307,Guram Kashia\Guram-Kashia,ge GEO,DF,San Jose,1987,1907,2,0,0,0.07,0.01,0.07,0.08,0.52,0.14,0,87.6,26566,10029,46.2,93.6,81.6,75,1207,32,1,156,71,0,924,115,200,50,1118
308,Aleksandar Katai\Aleksandar-Katai,rs SRB,FWMF,Chicago,1991,2100,3,0.26,0.26,0.24,0.37,0.24,0.61,4.37,1.33,0.19,75.9,12234,3347,25.8,83.9,52.4,114,873,107,4,186,29,99,654,156,170,191,706
309,Mark-Anthony Kaye\Mark-Anthony-Kaye,ca CAN,MF,Los Angeles FC,1994,2499,7,0.29,0.14,0.11,0.22,0.11,0.33,1.26,0.43,0.33,84,30005,9645,27.9,87.7,77.3,273,1868,41,21,326,30,7,1495,227,187,1495,348
310,Kim Kee-hee\Kim-Kee-hee,kr KOR,DF,Seattle,1989,2603,6,0.03,0,0.06,0.02,0.06,0.08,0.48,0.03,0,86,25348,8786,23.5,92.8,77.8,82,1275,36,0,203,54,6,988,128,195,105,1129
311,Aboubacar Keita\Aboubacar-Keita,us USA,DF,Columbus,2000,802,0,0,0,0.02,0,0.02,0.02,0.22,0,,84.6,6384,2338,100,87.7,80.7,17,297,15,0,21,6,1,239,32,41,263,23
312,Jon Kempin\Jon-Kempin,us USA,GK,Columbus,1993,270,0,0,0,0,0,0,0,0,0,,62,1949,1397,,100,48.5,0,57,35,0,9,3,0,36,6,50,2,66
313,Jasser Khemiri\Jasser-Khemiri,tn TUN,DF,Vancouver,1997,90,0,0,0,0.01,0,0.01,0.01,1,0,,93.8,277,170,,100,75,0,16,0,0,3,0,0,11,2,3,6,7
314,Daniel Kinumbe\Daniel-Kinumbe,ca CAN,DF,Montreal,1999,66,0,0,0,0,0,0,0,0,0,,79.4,464,129,,85.7,50,4,26,8,0,2,0,0,18,8,8,21,4
315,Perry Kitchen\Perry-Kitchen,us USA,MF,LA Galaxy,1992,573,0,0,0,0,0.07,0,0.07,0,0,,87,3757,1367,75,91,77.2,18,213,3,0,27,2,1,155,25,36,26,162
316,Sacha Kljestan\Sacha-Kljestan,us USA,MFFW,Orlando City,1985,1359,3,0.2,0.07,0.14,0.14,0.14,0.28,1.26,0.46,0.14,80.3,12570,3531,34.3,86.4,67,97,834,59,2,158,21,23,634,115,144,183,624
317,Brad Knighton\Brad-Knighton,us USA,GK,New England,1985,663,0,0,0,0,0,0,0,0,0,,59.9,4676,3350,100,97.8,48.4,0,111,91,0,5,11,0,69,11,122,12,138
318,Kevin Kratz\Kevin-Kratz,de GER,MF,Atlanta,1987,1,0,0,0,0,0,0,0,0,0,,100,23,16,,100,,1,1,0,0,0,0,0,1,0,0,1,0
319,Damir Kreilach\Damir-Kreilach,hr CRO,MFFW,Real Salt Lake,1989,2656,6,0.14,0.17,0.18,0.13,0.15,0.28,1.86,0.44,0.38,80.8,22896,4716,41.9,84.6,74.1,128,1475,41,7,304,59,20,958,283,275,178,1106
320,Bojan Krkić\Bojan-Krkic,es ESP,MFFW,Montreal,1990,606,0,0,0.45,0.33,0.09,0.33,0.42,2.52,0.89,0.5,81.3,3138,586,37.5,86.2,69.8,19,214,11,2,40,7,9,167,42,16,17,200
321,Ken Krolicki\Ken-Krolicki,us USA,MF,Montreal,1996,528,2,0,0,0.02,0.04,0.02,0.06,0.34,0,,86.4,4005,660,0,92,72.2,13,252,6,0,34,5,1,208,25,25,28,217
322,Kenneth Kronholm\Kenneth-Kronholm,de GER,GK,Chicago,1985,1800,1,0,0,0,0,0,0,0,0,,76.2,14565,8333,100,98.5,60.2,0,479,185,0,37,23,0,364,53,247,41,489
323,Connor Lade\Connor-Lade,us USA,DF,NY Red Bulls,1989,845,0,0.11,0.11,0.02,0.04,0.02,0.07,0.53,0.11,1,69.9,4903,2515,22.2,78.4,49,53,322,90,0,74,3,13,200,71,141,60,229
324,Roland Lamah\Roland-Lamah,be BEL,MFFW,FC Cincinnati,1987,1778,0,0.15,0.05,0.11,0.11,0.11,0.22,1.52,0.56,0.09,73.2,8759,2241,23.8,79.7,61,68,625,32,4,137,31,48,419,104,134,426,162
325,Matt Lampson\Matt-Lampson,us USA,GK,LA Galaxy,1989,90,0,0,0,0,0,0,0,0,0,,90.5,501,340,,100,75,0,17,4,0,0,0,0,11,4,6,0,14
326,Foster Langsdorf\Foster-Langsdorf,us USA,FW,Portland,1995,26,0,0,0,0,0,0,0,0,0,,50,40,18,,50,,1,6,0,0,1,0,0,3,2,1,0,4
327,Lassi Lappalainen\Lassi-Lappalainen,fi FIN,MFFW,Montreal,1998,682,0,0,0.66,0.38,0.02,0.38,0.4,2.24,1.19,0.56,74,2395,540,10,77.4,73.7,9,215,4,1,38,1,4,170,28,21,37,166
328,Jeff Larentowicz\Jeff-Larentowicz,us USA,MF,Atlanta,1983,1473,4,0,0,0.03,0.01,0.03,0.04,0.67,0.06,0,86.4,12590,2917,46.2,89.5,81.3,52,721,20,1,115,9,4,555,83,103,67,610
329,Richie Laryea\Richie-Laryea,ca CAN,DF,Toronto FC,1995,1466,6,0.12,0.06,0.08,0.11,0.08,0.19,1.04,0.25,0.25,87.4,10073,2759,27.8,91.6,74.5,58,604,103,0,99,7,9,523,107,77,96,494
330,Forrest Lasso\Forrest-Lasso,us USA,DF,FC Cincinnati,1993,394,2,0,0,0.01,0,0.01,0.01,0.46,0.23,0,75.9,3646,1451,100,82.7,68.1,14,195,4,0,38,7,1,125,26,48,154,17
331,Kemar Lawrence\Kemar-Lawrence,jm JAM,DF,NY Red Bulls,1992,1729,5,0,0.05,0.04,0.04,0.04,0.08,0.26,0.05,1,70.9,10193,4755,43.8,83.1,43,95,648,211,0,154,10,39,415,167,277,523,52
332,Emmanuel Ledesma\Emmanuel-Ledesma,ar ARG,FWMF,FC Cincinnati,1988,1764,4,0.2,0.15,0.27,0.16,0.11,0.27,2.24,0.41,0.38,62.3,9351,2993,12,71.2,52,85,630,73,2,146,47,84,333,122,248,527,91
333,Kelvin Leerdam\Kelvin-Leerdam,nl NED,DF,Seattle,1990,2407,7,0.07,0.19,0.08,0.08,0.08,0.16,0.82,0.22,0.83,79.9,19798,7016,23.4,88.2,64.5,177,1119,220,4,238,30,44,826,213,300,86,980
334,Brooks Lennon\Brooks-Lennon,us USA,DFFW,Real Salt Lake,1997,1547,3,0.06,0,0.06,0.09,0.06,0.15,0.58,0.12,0,73.6,13702,5047,7.7,83.8,58.2,117,736,162,3,148,56,62,470,169,259,36,648
335,Brett Levis\Brett-Levis,ca CAN,DFFW,Vancouver,1993,334,1,0,0,0.02,0.14,0.02,0.16,0.27,0,,78.9,2014,672,0,84.3,60,12,127,25,0,26,2,9,92,36,24,89,32
336,Jonathan Lewis\Jonathan-Lewis,us USA,FWMF,Colorado,1997,898,2,0.3,0.5,0.2,0.2,0.2,0.4,1.6,0.8,0.63,70.9,2780,699,14.3,80.9,41,18,237,10,3,37,12,27,175,31,41,45,190
337,Jonathan Lewis\Jonathan-Lewis,us USA,MFFW,NYCFC,1997,216,1,0.42,0,0.02,0.02,0.02,0.04,0.42,0.42,0,72.1,616,123,33.3,74.5,66.7,4,61,0,0,11,0,1,46,9,6,13,43
338,Danny Leyva\Danny-Leyva,us USA,MF,Seattle,2003,414,1,0,0,0.03,0.01,0.03,0.04,0.87,0,,87.3,4552,1095,40,90.9,81.9,19,245,7,0,49,15,1,185,34,33,27,219
339,Grant Lillard\Grant-Lillard,us USA,DF,Chicago,1995,206,0,0,0,0.04,0,0.04,0.04,0.44,0,,76,1573,521,0,90,55.9,1,89,7,0,19,3,0,69,6,21,59,30
340,Nick Lima\Nick-Lima,us USA,DF,San Jose,1994,1808,4,0.1,0.05,0.02,0.07,0.02,0.1,0.9,0.15,0.33,82.1,14195,4056,25,89.7,66.1,80,754,164,3,154,18,43,568,168,182,254,477
341,Jaylin Lindsey\Jaylin-Lindsey,us USA,DF,Sporting KC,2000,90,0,0,0,0,0,0,0,0,0,,85.4,581,207,,93.8,55.6,4,33,8,0,5,0,1,30,7,4,2,32
