,Player,cluster,x,y
134,Shamit Shome,2,-10811.01360278845,15.550084993931698
135,Caleb Stanko,0,-6825.705859265854,-251.53955195419317
136,Gustav Svensson,3,8967.741802509896,558.9025634514064
137,Saphir Taïder,1,22626.190409468443,-3477.218348038788
138,Russell Teibert,0,-4472.834801476659,-218.71308844911022
139,Wil Trapp,1,19503.358449856216,134.57250574260092
140,Victor Ulloa,0,2442.474402159183,-624.58438688911
141,Diego Valeri,3,9733.061000178865,1165.3523760496364
142,Matías Vera,3,17436.274774677317,-2802.3034385575625
143,Danny Wilson,2,-11757.00065111809,881.1962431089025
144,Jackson Yueill,1,28933.082886370135,-1240.221517923201
145,Wilfried Zahibo,0,-5834.540526707155,1285.4683267631528
